SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,q,u,x,y,z
11/10/2010,23,40330,40549,41078,42223,36549.5,867,2121,10,29,0,1,7,464,0,-247,0,,-511,0,-247,0,,,42223,,
30/01/2012,31,47610,47746,48836,49133,43614.5,314,1866,60,1280,0,10,176,-440,-104,-72,0,,-534,-104,-72,0,,,49133,,
30/01/2012,32,48390,48478,49882,49913,43614.5,282,1866,39,1280,0,12,163,-643,-104,-133,0,,-533,-104,-133,0,,,49913,,
30/05/2014,8,22750,22813,23615,25330,20642,485,3665,0,4772,0,0,1650,0,999,-127,-238,,1978,999,-127,-238,,,,,
01/07/2014,8,22250,22106,22920,24211,19989,191,3575,0,4948,0,0,1435,0,963,-170,148,,1486,963,-170,148,,,24211,,
04/07/2015,4,21560,21538,22060,23167,19908,1159,3897,0,8713,0,0,1196,0,792,152,140,,1479,792,152,140,,,23167,,
02/11/2015,31,39630,39472,40230,40830,36428,329,4013,674,8965,0,0,10,0,0,0,0,,1480,988,-236,-515,,,,,
11/09/2016,11,18430,18541,18930,20319,16990.5,940,4403,0,11433,0,0,1278,0,0,0,0,,360,758,0,0,,,,,
22/09/2016,43,33680,33654,34180,34433,30846.5,1163,4649,0,11433,0,0,14,0,0,0,0,,-261,1001,61,0,,,,,
28/10/2017,34,29790,29605,30290,30219,28779.5,3161,5305,550,12372,0,0,10,0,0,0,0,,1971,144,-4,-100,,,,,
29/10/2017,27,27950,27789,28550,28868,25296,1568,5305,3930,12372,0,0,3,0,0,0,0,,1971,1000,-247,-226,,,,,
08/11/2017,8,24790,24462,27054,27500,22584,817,5305,0,12372,0,17,2338,-1530,999,-117,113,,-104,999,215,475,,,,,
08/11/2017,21,37720,37345,39984,41531,34442.5,1001,5305,3450,12372,0,17,7,-1530,999,-117,113,,-1804,-904,-450,-168,,,,,
22/04/2018,16,21830,21341,22330,21853,19888,1314,5978,1580,13052,0,0,12,0,0,0,0,,1283,708,59,0,,,,,
09/06/2018,35,26870,26549,27370,27485,23951.5,415,5859,3420,13052,0,0,85,0,0,0,0,,1971,1001,-289,2,,,,,
10/07/2018,40,32490,32306,33216,32913,29393.5,709,5913,827,13052,0,7,12,1166,705,-117,-102,,1776,1060,-30,-64,,,,,
02/10/2018,42,34190,33005,34690,33515,31608,1881,5911,2,13052,0,0,8,0,0,0,0,,1970,1060,-413,-529,,,,,
12/02/2019,20,39840,37474,40440,38307,37137,1962,6192,1690,13052,28,0,13,0,0,0,0,,0,1971,-223,143,,,260,,
12/02/2019,21,39560,37764,40160,38440,36358,2040,6192,1910,13052,0,0,8,0,0,0,0,,0,1873,-104,143,,,176,,
28/03/2019,18,34470,32663,35070,33278,31479.5,745,6162,3910,13080,0,0,15,0,0,0,0,,1968,1060,-453,-530,,,,,
13/05/2019,3,21700,20621,22200,21895,19633.5,601,6127,0,13080,0,0,774,0,0,0,0,,1373,902,209,0,,,,,
13/05/2019,5,21930,20885,22430,22028,19613,581,6127,0,13080,0,0,643,0,0,0,0,,1376,902,209,0,,,,,
13/05/2019,7,21410,20350,21910,21674,19266.5,574,6127,0,13080,0,0,823,0,0,0,0,,1376,901,209,0,,,,,
20/06/2019,40,30700,27966,31200,28474,27819,1298,6137,832,13080,0,0,6,0,0,0,0,,0,988,1059,-6,,,296,,
20/06/2019,25,28300,26054,28800,26563,25790.5,1594,6137,5830,13080,0,0,6,0,0,0,0,,0,988,1002,0,,,-343,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/04/2011,20,38880,39148,39791,40068,35145.5,311,1761,34,152,0,0,8,0,102,-411,0,,175,102,-411,0,,,40068,,
28/04/2011,21,38900,39125,39819,40046,35145.5,311,1761,42,152,0,8,10,406,130,-411,0,,379,130,-411,0,,,40046,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/07/2010,27,39950,39964,40844,40856,36362,341,2062,4,11,0,4,3,1385,0,-390,0,,1470,0,-390,0,,,40856,,
27/07/2010,28,39500,39589,40397,40485,36362,493,2062,4,11,0,7,4,1578,0,-390,0,,1469,0,-390,0,,,40485,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/08/2019,21,24210,22681,24710,23188,21688.5,714,6137,4210,13080,0,0,6,0,0,0,0,,0,1583,865,-24,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2019,48,23080,20108,23580,20635,21278,1511,6231,0,13080,0,0,27,0,0,0,0,,0,1483,749,-133,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/10/2019,27,28500,25815,29000,26327,26115,1815,6231,3000,13080,157,0,10,0,0,0,0,,0,1536,903,256,,,132,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2020,7,20950,18436,21550,22160,19963,2331,6465,0,13080,0,0,1878,0,0,0,0,,0,-1607,-1,81,,,500,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2020,13,26210,23684,26810,26187,24559.5,2528,6465,0,13080,0,0,280,0,0,0,0,,0,-1424,-474,81,,,500,,
